"ref_area.label","source.label","indicator.label","classif1.label","time","obs_value","note_indicator.label","note_source.label"
"Bulgaria","ADM - Legislación Laboral","Salario mínimo nominal mensual bruto","Divisa: Moneda local","2017",460,"Tipo de salario mínimo: Salario mínimo único nacional | Moneda: BGR - Lev (BGN)","Repositorio: Eurostat | Período de referencia de los datos: Julio"
"Bulgaria","ADM - Legislación Laboral","Salario mínimo nominal mensual bruto","Divisa: $ PPA 2021","2017",612.463,"Tipo de salario mínimo: Salario mínimo único nacional | Moneda: BGR - Lev (BGN)","Repositorio: Eurostat | Período de referencia de los datos: Julio"
"Bulgaria","ADM - Legislación Laboral","Salario mínimo nominal mensual bruto","Divisa: Dólar estadounidense","2017",265.06,"Tipo de salario mínimo: Salario mínimo único nacional | Moneda: BGR - Lev (BGN)","Repositorio: Eurostat | Período de referencia de los datos: Julio"
"Bulgaria","ADM - Legislación Laboral","Salario mínimo nominal mensual bruto","Divisa: Moneda local","2016",420,"Tipo de salario mínimo: Salario mínimo único nacional | Moneda: BGR - Lev (BGN)","Repositorio: Eurostat | Período de referencia de los datos: Julio"
"Bulgaria","ADM - Legislación Laboral","Salario mínimo nominal mensual bruto","Divisa: $ PPA 2021","2016",573.752,"Tipo de salario mínimo: Salario mínimo único nacional | Moneda: BGR - Lev (BGN)","Repositorio: Eurostat | Período de referencia de los datos: Julio"
"Bulgaria","ADM - Legislación Laboral","Salario mínimo nominal mensual bruto","Divisa: Dólar estadounidense","2016",237.551,"Tipo de salario mínimo: Salario mínimo único nacional | Moneda: BGR - Lev (BGN)","Repositorio: Eurostat | Período de referencia de los datos: Julio"
"Bulgaria","ADM - Legislación Laboral","Salario mínimo nominal mensual bruto","Divisa: Moneda local","2015",380,"Tipo de salario mínimo: Salario mínimo único nacional | Moneda: BGR - Lev (BGN)","Repositorio: Eurostat | Período de referencia de los datos: Julio"
"Bulgaria","ADM - Legislación Laboral","Salario mínimo nominal mensual bruto","Divisa: $ PPA 2021","2015",502.074,"Tipo de salario mínimo: Salario mínimo único nacional | Moneda: BGR - Lev (BGN)","Repositorio: Eurostat | Período de referencia de los datos: Julio"
"Bulgaria","ADM - Legislación Laboral","Salario mínimo nominal mensual bruto","Divisa: Dólar estadounidense","2015",215.371,"Tipo de salario mínimo: Salario mínimo único nacional | Moneda: BGR - Lev (BGN)","Repositorio: Eurostat | Período de referencia de los datos: Julio"
"Bulgaria","ADM - Legislación Laboral","Salario mínimo nominal mensual bruto","Divisa: Moneda local","2014",340,"Tipo de salario mínimo: Salario mínimo único nacional | Moneda: BGR - Lev (BGN)","Repositorio: Eurostat | Período de referencia de los datos: Julio"
"Bulgaria","ADM - Legislación Laboral","Salario mínimo nominal mensual bruto","Divisa: $ PPA 2021","2014",455.631,"Tipo de salario mínimo: Salario mínimo único nacional | Moneda: BGR - Lev (BGN)","Repositorio: Eurostat | Período de referencia de los datos: Julio"
"Bulgaria","ADM - Legislación Laboral","Salario mínimo nominal mensual bruto","Divisa: Dólar estadounidense","2014",230.636,"Tipo de salario mínimo: Salario mínimo único nacional | Moneda: BGR - Lev (BGN)","Repositorio: Eurostat | Período de referencia de los datos: Julio"
"Bulgaria","ADM - Legislación Laboral","Salario mínimo nominal mensual bruto","Divisa: Moneda local","2013",310,"Tipo de salario mínimo: Salario mínimo único nacional | Moneda: BGR - Lev (BGN)","Repositorio: Eurostat | Período de referencia de los datos: Julio"
"Bulgaria","ADM - Legislación Laboral","Salario mínimo nominal mensual bruto","Divisa: $ PPA 2021","2013",400.343,"Tipo de salario mínimo: Salario mínimo único nacional | Moneda: BGR - Lev (BGN)","Repositorio: Eurostat | Período de referencia de los datos: Julio"
